Country,Year,Per capita income
Afghanistan,2002,199
Afghanistan,2003,219
Afghanistan,2004,238
Afghanistan,2005,271
Afghanistan,2006,298
Afghanistan,2007,401
Afghanistan,2008,406
Albania,2002,1395
Albania,2003,1784
Albania,2004,2312
Albania,2005,2612
Albania,2006,2916
Albania,2007,3546
Albania,2008,4340
Algeria,2002,1776
Algeria,2003,2095
Algeria,2004,2600
Algeria,2005,3102
Algeria,2006,3468
Algeria,2007,3940
Algeria,2008,4912
Andorra,2002,24395
Andorra,2003,32074
Andorra,2004,37476
Andorra,2005,40084
Andorra,2006,42497
Andorra,2007,47324
Andorra,2008,46808
Angola,2002,949
Angola,2003,1067
Angola,2004,1362
Angola,2005,2064
Angola,2006,2825
Angola,2007,3402
Angola,2008,4462
Anguilla,2002,13465
Anguilla,2003,14121
Anguilla,2004,16300
Anguilla,2005,18130
Anguilla,2006,22031
Anguilla,2007,27028
Anguilla,2008,26511
Antigua and Barbuda,2002,10404
Antigua and Barbuda,2003,10789
Antigua and Barbuda,2004,11446
Antigua and Barbuda,2005,12547
Antigua and Barbuda,2006,13989
Antigua and Barbuda,2007,15607
Antigua and Barbuda,2008,16024
Aruba,2002,20436
Aruba,2003,20833
Aruba,2004,22569
Aruba,2005,23300
Aruba,2006,24045
Aruba,2007,25835
Aruba,2008,27084
United Arab Emirates,2002,31567
United Arab Emirates,2003,33499
United Arab Emirates,2004,36333
United Arab Emirates,2005,39365
United Arab Emirates,2006,41907
United Arab Emirates,2007,41809
United Arab Emirates,2008,44498
Argentina,2002,2593
Argentina,2003,3349
Argentina,2004,4277
Argentina,2005,5109
Argentina,2006,5919
Argentina,2007,7245
Argentina,2008,9020
Armenia,2002,783
Armenia,2003,930
Armenia,2004,1191
Armenia,2005,1643
Armenia,2006,2158
Armenia,2007,3139
Armenia,2008,4010
American Samoa,2002,8700
American Samoa,2003,8856
American Samoa,2004,8578
American Samoa,2005,8444
American Samoa,2006,8391
American Samoa,2007,8909
American Samoa,2008,9792
Antigua and Barbuda,2002,10404
Antigua and Barbuda,2003,10789
Antigua and Barbuda,2004,11446
Antigua and Barbuda,2005,12547
Antigua and Barbuda,2006,13989
Antigua and Barbuda,2007,15607
Antigua and Barbuda,2008,16024
Australia,2002,20082
Australia,2003,23447
Australia,2004,30430
Australia,2005,33999
Australia,2006,36044
Australia,2007,40960
Australia,2008,49601
Austria,2002,26401
Austria,2003,32222
Austria,2004,36821
Austria,2005,38403
Austria,2006,40635
Austria,2007,46855
Austria,2008,51708
